s0,d(s0),Set,f(vij)obs,f(vij=1/q0)ref,?D1(sI),?D2(sII),?D3(sIII),?D4(sIV),?D5(sI),?D6(sII),?D7(sIII)
Fluorescence-ND ,1,t,1,0.13,-34.6452,-144.48,0.00,0.19,898.4883,-0.20,0.00
Fluorescence-ND ,1,t,0,0.24,-31.8452,-30.47,1.55,0.42,-339.3471,-0.24,-18.15
Fluorescence-ND ,1,v,0,0.16,-33.6452,-50.07,1.77,-0.10,-83.6206,-1.24,-160.88
Fluorescence-ND ,1,t,0,0.24,0.0000,-86.73,-1.27,1.52,-322.6284,8.02,-38.50
Zeta Potential (mV)-ND,-1,t,1,0.24,0.0000,-86.73,-1.27,1.52,-322.6284,8.02,-38.50
IC50 (µg/mL),-1,t,1,0.26,0.0000,-86.73,-1.27,1.52,-322.6284,8.02,-38.50
Fluorescence-ND ,1,v,0,0.24,-16.6452,-78.00,1.55,0.42,-339.3471,-0.70,-18.15
Fluorescence-ND ,1,t,0,0.16,-28.6452,-45.07,0.00,0.07,401.3611,-0.98,0.00
Fluorescence-ND ,1,t,1,0.13,-28.6452,-45.07,0.00,0.07,401.3611,-0.98,0.00
Fluorescence-ND ,1,t,1,0.16,-28.6452,98.27,0.00,-0.06,-227.9422,1.43,-0.01
Fluorescence-ND ,1,v,1,0.13,-28.6452,98.27,0.00,-0.06,-227.9422,1.43,-0.01
IC50 (µg/mL),-1,t,1,0.26,-14.3077,-145.48,-1.78,-0.46,0.0000,1.85,-8.14
IC50 (µg/mL),-1,t,1,0.26,-14.3077,-145.48,-1.78,-0.46,0.0000,1.85,-8.14
IC50 (µg/mL),-1,t,1,0.26,-14.3077,-145.48,-1.78,-0.46,0.0000,1.85,-8.14
IC50 (µg/mL),-1,v,1,0.26,-14.3077,-145.48,-1.78,-0.46,0.0000,1.85,-8.14
IC50 (µg/mL),-1,t,1,0.26,-14.3077,-145.48,-1.78,-0.46,0.0000,1.85,-8.14
IC50 (µg/mL),-1,t,1,0.26,-14.3077,-145.48,-1.78,-0.46,0.0000,1.85,-8.14
Fluorescence-ND ,1,t,1,0.16,0.0000,-86.73,0.00,0.13,250.3164,-0.45,0.00
Fluorescence-ND ,1,v,1,0.13,0.0000,-86.73,0.00,0.13,250.3164,-0.45,0.00
Fluorescence-ND ,1,t,0,0.24,61.3548,0.00,-1.03,0.00,-342.4980,-0.37,16.49
Fluorescence-ND ,1,t,0,0.24,0.0000,8.68,0.38,-0.13,0.0000,-0.26,-120.73
Fluorescence-ND ,1,t,0,0.16,31.3548,-80.48,-1.03,0.00,-342.4980,1.48,31.38
Fluorescence-ND ,1,v,0,0.24,101.3548,-10.48,0.00,-0.49,-421.0956,1.79,0.00
Fluorescence-ND ,1,t,1,0.16,-33.6452,-145.48,0.00,0.15,-328.9198,3.76,7.94
Fluorescence-ND ,1,t,1,0.13,-33.6452,-145.48,0.00,0.15,-328.9198,3.76,-7.94
Fluorescence-ND ,1,t,0,0.24,-37.6452,-140.48,0.29,0.51,-358.3631,2.78,18.02
Fluorescence-ND ,1,v,1,0.16,0.0000,-86.73,0.00,0.12,-143.4967,0.48,0.00
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,0.00,0.12,-143.4967,0.48,0.00
Fluorescence-ND ,1,t,1,0.16,31.3548,-6.00,0.00,-0.14,246.4968,-0.18,-60.13
Fluorescence-ND ,1,t,1,0.16,31.3548,-6.00,0.00,-0.14,246.4968,-0.18,-60.13
Fluorescence-ND ,1,v,1,0.13,31.3548,-6.00,0.00,-0.14,246.4968,-0.18,-9.83
Fluorescence-ND ,1,t,1,0.13,31.3548,-6.00,0.00,-0.14,246.4968,-0.18,130.09
Fluorescence-ND ,1,t,0,0.24,11.3548,-11.73,0.00,0.54,-342.1896,-0.24,93.28
Fluorescence-ND ,1,t,0,0.16,-36.6452,-51.73,0.00,0.11,-132.5443,-1.45,0.00
Fluorescence-ND ,1,v,1,0.13,-36.6452,-51.73,0.00,0.11,-132.5443,-1.45,0.00
Fluorescence-ND ,1,t,1,0.16,11.3548,23.69,-1.53,0.60,-350.7568,1.54,-11.31
Fluorescence-ND ,1,t,1,0.13,11.3548,23.69,-1.53,0.60,-350.7568,1.54,18.02
Fluorescence-ND ,1,t,0,0.16,11.3548,-11.73,0.00,0.24,-373.6993,5.09,0.00
Fluorescence-ND ,1,v,0,0.24,-38.9500,-32.27,0.00,-0.13,0.0000,0.12,0.00
Fluorescence-ND ,1,t,0,0.24,80.6923,38.27,0.00,-2.39,0.0000,-3.35,-0.01
Fluorescence-ND ,1,t,0,0.24,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.16,-33.6452,-88.80,-0.86,0.42,-339.3471,-0.80,-154.48
